o_id,total_Cost,o_status,date_added,p_quantity,p_id
4027,41046,Delivered,2021/12/09,1,13
9879,195359,unpaid,2019/03/07,9,60
1964,44187,Delivered,2021/09/25,2,39
8191,78560,Dispatched,2019/01/15,1,41
4936,32236,Shipped,2021/05/23,8,35
7523,27491,Delivered,2021/12/23,10,58
5140,35829,Dispatched,2020/05/21,4,5
7239,53785,unpaid,2021/02/16,1,59
9702,35390,Shipped,2020/03/30,2,52
9479,65119,Delivered,2020/05/07,1,57
2962,150178,Dispatched,2019/04/17,3,45
6669,172991,Shipped,2020/02/02,7,53
2419,175507,Dispatched,2019/11/11,6,17
2081,28148,Delivered,2020/05/19,6,51
4359,186286,unpaid,2019/10/14,8,19
1228,99927,Dispatched,2021/07/16,6,29
6051,17763,ordered,2020/01/06,7,54
7173,90159,Delivered,2021/03/22,6,43
3077,168454,Shipped,2020/05/20,1,16
9398,175660,ordered,2020/10/06,3,47
8148,136215,unpaid,2020/08/25,1,20
6135,103529,ordered,2020/06/30,4,11
6199,93988,Shipped,2019/12/08,1,2
5570,17897,Delivered,2021/03/02,8,53
